<http://65.52.215.125/ipt/archive.do?r=fish>	<hash://sha256/2b53ac24d8794eb3ab3043f9830a4901745b2533418729761b17ed32d3d7a462>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://65.52.215.125/ipt/eml.do?r=amphibian>	<hash://sha256/d952e476c282741cc4ee0f2fef3c61dfb89d45912b0fe5bbba3b44402a7d35f8>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/ALA_DwC-A.eml>	<hash://sha256/1b8d248ef90dca7c3c94218ef2e0650d3c5c314bafc346c743e2fdc18bf11771>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/ALA_DwC-A.zip>	<hash://sha256/a301f9c9f19309412e71fa329e216a3bb16537014c5779ad7177367e5e1c399f>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/ARIZ_DwC-A.eml>	<hash://sha256/b5789c9a1d1464825286d3e42c50a98192a3907c64c91a349f9bdf11574264a3>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/ARIZ_DwC-A.zip>	<hash://sha256/bed54aaa34e2ac04f1f40b5d10d5216500fd07b6410aaadae86a871ac96cbbdb>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/AUA_DwC-A.eml>	<hash://sha256/f64db620db4c9ea32d6a7f0ae6d2f06fbdfb4226cfa903682be6af5d76281d8c>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/AUA_DwC-A.zip>	<hash://sha256/5037d6159aa3f902a90a2ea5001aedd460afc1f7e6c4a926752bc683087e43bd>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/BALT_DwC-A.eml>	<hash://sha256/7a1c6a75b678b79c800bdf0067fb555a57ea0da9e4a7a00eb686d5cc6ae69fd7>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/BALT_DwC-A.zip>	<hash://sha256/a0541761d8265a23e16f4c9b176590fc5c0b3b37ff748e7cdd094d4d25a5d159>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
